TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
1760947200,111236.63,111689.86,111010.26,111144.06,89415459.84
1760950800,111144.06,111234.37,110749.05,111014.28,96023762.68
1760954400,111014.28,111149.35,110722.47,110793.78,76105517.89
1760958000,110793.78,111076.33,110678.84,111061.4,48246616.11
1760961600,111061.4,111245.27,110820.07,110883.64,107800006.0
1760965200,110883.64,111240.43,110636.59,111198.34,256000027.38
1760968800,111198.34,111408.43,110760.95,111255.61,172504934.17
1760972400,111255.61,111743.25,111064.24,111189.68,153708367.12
1760976000,111189.68,111358.32,110175.91,110731.11,281357988.17
1760979600,110731.11,111116.56,109900.02,110332.73,171935670.34
1760983200,110332.73,111000.09,110265.81,110965.61,124217487.36
1760986800,110965.61,111102.46,110589.07,110858.88,106282359.05
1760990400,110858.88,111326.33,110703.28,111124.17,112285163.63
1760994000,111124.17,111295.38,110515.67,110602.66,59712872.88
1760997600,110602.66,110918.69,110463.73,110853.08,46642396.08
1761001200,110853.08,110874.26,110572.73,110583.29,55938355.75
1761004800,110583.29,110584.17,110209.41,110503.88,112637754.61
1761008400,110503.88,110532.36,109625.1,109897.13,113182667.12
1761012000,109897.13,109960.4,109371.57,109566.38,120320083.12
1761015600,109566.38,109661.84,109121.78,109122.59,82790171.48
1761019200,109122.59,109122.9,107704.37,107840.44,226601718.05
1761022800,107840.44,108015.33,107500.34,107582.98,160502730.96
1761026400,107582.98,108236.82,107547.89,107965.68,88213384.31
1761030000,107965.68,108232.66,107700.0,108125.21,58473889.73
1761033600,108125.21,108134.39,107529.31,107747.72,92656381.92
1761037200,107747.72,107910.13,107602.85,107797.55,61179116.7
1761040800,107797.55,108855.58,107623.97,108552.28,118477360.04
1761044400,108552.28,108665.88,108210.47,108619.82,84952273.34
1761048000,108619.82,109508.48,108518.61,108833.4,164784256.44
1761051600,108833.4,108932.77,108000.42,108480.18,238433471.25
1761055200,108480.18,112349.78,108460.85,112243.09,504717687.14
1761058800,112243.09,113612.81,111795.21,113472.17,500743084.86
1761062400,113472.17,114069.11,112538.8,112607.96,369086308.68
1761066000,112607.96,113050.29,111884.78,112082.3,331514319.66
1761069600,112082.3,112355.48,111417.45,112054.91,180721925.25
1761073200,112054.91,112259.54,111634.56,111853.6,130572816.95
1761076800,111853.6,111870.99,110656.23,110870.31,188557155.44
1761080400,110870.31,111162.71,110195.16,110889.22,139997757.63
1761084000,110889.22,110889.31,108537.21,109128.6,266730286.81
1761087600,109128.6,109487.07,108126.85,108387.11,171641581.85
1761091200,108387.11,108705.49,107915.08,108052.54,179421709.09
1761094800,108052.54,108530.43,108050.82,108421.06,128404887.24
1761098400,108421.06,108737.06,108274.86,108274.86,81953276.64
1761102000,108274.86,108281.94,107934.67,108275.9,80243190.58
1761105600,108275.9,108694.29,108223.44,108684.53,54198136.71
1761109200,108684.53,108705.05,107960.82,108234.47,74204765.19
1761112800,108234.47,108403.29,108018.52,108055.29,62262047.16
1761116400,108055.29,108369.91,107678.5,108369.91,95319824.59
1761120000,108369.91,108416.5,108150.1,108292.73,43551291.29
1761123600,108292.73,108326.77,107841.4,108018.7,74012829.86
1761127200,108018.7,108161.79,107693.78,107708.74,83625922.05
1761130800,107708.74,108266.31,106898.14,107608.49,225975682.09
1761134400,107608.49,108441.39,107511.92,108095.35,127273438.6
1761138000,108095.35,109056.27,107692.81,108850.19,270895325.91
1761141600,108850.19,109024.6,107547.22,108959.22,453161837.76
1761145200,108959.22,109181.59,107767.44,108431.34,306489124.22
1761148800,108431.34,108810.2,107889.58,108232.38,250575109.42
1761152400,108232.38,108337.84,107592.75,107790.99,207022577.52
1761156000,107790.99,108218.4,107479.91,108023.28,163891771.84
1761159600,108023.28,108417.33,107757.37,107861.99,224417700.12
1761163200,107861.99,108067.77,107533.68,107701.97,124751078.53
1761166800,107701.97,107751.99,106750.91,107211.9,195030649.19
1761170400,107211.9,107688.08,106953.22,107209.94,103122678.39
1761174000,107209.94,107961.75,107186.2,107604.16,105780926.12
1761177600,107604.16,107995.72,107527.17,107887.66,61937560.01
1761181200,107887.66,108514.66,107850.79,108200.49,132951965.1
1761184800,108200.49,108442.62,108105.68,108442.62,48645198.47
1761188400,108442.62,108749.38,108367.9,108403.32,55969982.38
1761192000,108403.32,108966.91,108398.37,108690.61,43347684.54
1761195600,108690.61,109027.77,108667.49,109000.29,43787218.66
1761199200,109000.29,110338.71,108902.42,110289.54,167046264.15
1761202800,110289.54,110316.57,109261.11,109306.71,90875704.73
1761206400,109306.71,109935.06,109285.92,109537.11,62641942.3
1761210000,109537.11,109564.95,109165.54,109461.66,54620012.14
1761213600,109461.66,109734.03,109421.53,109476.73,43564442.44
1761217200,109476.73,109693.84,109155.24,109292.31,55392385.78
1761220800,109292.31,109292.38,108727.55,109186.76,113867530.48
1761224400,109186.76,109649.38,108839.73,109530.54,146162503.69
1761228000,109530.54,109866.91,108761.47,109637.13,217809459.98
1761231600,109637.13,110154.37,109542.08,109951.82,142620008.66
1761235200,109951.82,110612.57,109691.25,110302.37,135124149.43
1761238800,110302.37,111341.37,109698.75,111279.66,264589943.56
1761242400,111279.66,111333.74,110306.46,110618.64,148321853.37
1761246000,110618.64,110674.89,110165.3,110257.41,79662718.38
1761249600,110257.41,110260.6,109411.18,109571.93,130726547.08
1761253200,109571.93,109765.6,109424.75,109590.97,71606616.09
1761256800,109590.97,110205.62,109575.37,109997.41,94387733.55
1761260400,109997.41,110141.7,109881.66,110114.95,44758953.57
1761264000,110114.95,110741.95,110040.74,110559.35,97621778.66
1761267600,110559.35,110711.05,110190.26,110626.44,67611631.07
1761271200,110626.44,110855.22,110405.61,110628.97,44652466.11
1761274800,110628.97,110685.06,110323.0,110491.31,48784748.89
1761278400,110491.31,111506.82,110396.88,111220.58,111960301.41
1761282000,111220.58,111347.66,110988.27,111293.11,75587445.57
1761285600,111293.11,111535.57,111170.29,111502.27,58838731.7
1761289200,111502.27,111567.06,110829.96,111100.57,57532920.12
1761292800,111100.57,111248.98,110733.5,111131.51,72219495.95
1761296400,111131.51,111526.66,111041.81,111376.75,53854292.21
1761300000,111376.75,111376.8,111108.8,111172.35,40682532.73
1761303600,111172.35,111306.01,110642.9,111102.56,60129653.47
1761307200,111102.56,111967.35,110913.69,111331.7,285339019.93
1761310800,111331.7,111473.52,110413.36,110951.01,220914528.56
1761314400,110951.01,110951.53,109742.29,110228.81,251596910.84
1761318000,110228.81,110635.58,109923.67,110076.29,133323328.11
1761321600,110076.29,110404.3,109830.41,110287.42,92984951.38
1761325200,110287.42,110601.6,110219.27,110250.91,64902568.99
1761328800,110250.91,110659.6,110180.29,110627.75,66115274.67
1761332400,110627.75,110963.1,110539.59,110634.69,93110660.45
1761336000,110634.69,111042.29,110501.13,110917.94,60840106.92
1761339600,110917.94,111137.73,110683.59,111117.39,68233265.92
1761343200,111117.39,111170.68,110965.23,111053.72,39173913.07
1761346800,111053.72,111154.53,110922.14,111046.29,27644693.59
1761350400,111046.29,111071.01,110709.35,110805.81,38804391.23
1761354000,110805.81,111257.5,110792.15,111103.4,39778020.92
1761357600,111103.4,111155.36,110995.27,111075.47,18247373.75
1761361200,111075.47,111163.68,111041.69,111064.17,27000766.63
1761364800,111064.17,111470.33,111063.97,111267.0,41940993.78
1761368400,111267.0,111439.93,111125.13,111407.2,24078110.32
1761372000,111407.2,111520.91,111295.7,111405.35,24298979.56
1761375600,111405.35,111819.85,111405.23,111524.59,49872936.03
1761379200,111524.59,111819.87,111515.42,111793.99,27962955.88
1761382800,111793.99,111859.92,111524.69,111552.41,46352584.62
1761386400,111552.41,111743.69,111426.86,111602.13,28407228.87
1761390000,111602.13,111692.68,111526.88,111605.29,18972221.9
1761393600,111605.29,111960.99,111570.28,111929.78,35623326.67
1761397200,111929.78,111955.91,111552.01,111701.97,50613130.54
1761400800,111701.97,111784.54,111541.31,111622.56,18963475.39
1761404400,111622.56,111623.21,111363.65,111413.7,23465243.33
1761408000,111413.7,111507.95,111205.71,111409.33,30531514.22
1761411600,111409.33,111480.31,111336.06,111403.88,11859796.2
1761415200,111403.88,111754.06,111350.62,111746.23,19109327.81
1761418800,111746.23,111746.63,111609.0,111649.78,12175971.47
1761422400,111649.78,111679.31,111416.81,111465.39,17692925.48
1761426000,111465.39,111499.82,111376.45,111496.58,17267386.45
1761429600,111496.58,111712.92,111441.77,111648.44,23461271.22
1761433200,111648.44,111699.06,111568.69,111671.84,16659329.24
1761436800,111671.84,111935.55,111574.15,111751.7,41173685.72
1761440400,111751.7,111872.18,111569.33,111670.5,37339699.44
1761444000,111670.5,111711.77,111453.1,111486.27,29235611.1
1761447600,111486.27,111528.18,111283.58,111294.68,54043292.67
1761451200,111294.68,111506.02,111281.45,111452.8,13670167.99
1761454800,111452.8,111665.89,111389.22,111631.59,16503490.09
1761458400,111631.59,111696.68,111563.95,111645.46,10063031.07
1761462000,111645.46,111751.12,111635.47,111751.12,11121068.99
1761465600,111751.12,111868.65,111751.05,111811.3,15919254.31
1761469200,111811.3,112797.67,111745.11,112559.39,140828164.42
1761472800,112559.39,112589.94,112225.79,112498.07,40058195.52
1761476400,112498.07,113466.96,112457.22,113296.9,93784084.93
1761480000,113296.9,113818.92,113290.9,113583.33,131373985.73
1761483600,113583.33,114013.66,113297.08,113724.58,126322662.73
1761487200,113724.58,113900.07,113555.7,113579.31,98171428.55
1761490800,113579.31,113741.31,113456.92,113704.85,46458693.62
1761494400,113704.85,113760.68,113299.01,113539.56,59510345.44
1761498000,113539.56,113761.12,113460.71,113462.27,32400452.98
1761501600,113462.27,113782.4,113460.6,113611.88,41264179.95
1761505200,113611.88,113723.29,113523.26,113608.74,23725218.87
1761508800,113608.74,113608.82,113331.54,113336.93,23234322.68
1761512400,113336.93,113592.51,112929.68,113493.59,64129907.43
1761516000,113493.59,115420.91,113491.08,114689.63,253492013.74
1761519600,114689.63,114976.12,114413.2,114559.89,98560558.38
1761523200,114559.89,115172.16,114384.48,114779.35,129115737.42
1761526800,114779.35,115392.92,114724.1,115295.21,83252573.78
1761530400,115295.21,115465.07,114850.14,114907.04,84050686.83
1761534000,114907.04,115267.95,114861.97,114994.33,61199985.42
1761537600,114994.33,115306.77,114965.15,115276.89,35947783.66
1761541200,115276.89,115651.81,115276.87,115574.87,78939365.08
1761544800,115574.87,116116.06,115379.38,116059.86,115689269.44
1761548400,116059.86,116395.5,115521.62,115576.65,117725122.04
1761552000,115576.65,115616.67,114911.65,115034.04,90109242.08
1761555600,115034.04,115358.28,114845.15,115263.58,75749692.59
1761559200,115263.58,115549.03,115139.45,115461.96,49217158.56
1761562800,115461.96,115538.02,115150.85,115374.55,46537788.08
1761566400,115374.55,115437.19,115011.03,115076.28,67513587.03
1761570000,115076.28,115405.26,114599.34,115266.34,142962714.72
1761573600,115266.34,115358.15,114514.71,114821.87,158887424.49
1761577200,114821.87,115229.78,114802.56,114977.07,123342365.34
1761580800,114977.07,115647.49,114894.82,115510.81,114063769.07
1761584400,115510.81,115728.79,115335.35,115721.24,82404788.56
1761588000,115721.24,115808.88,115355.48,115370.92,71632003.09
1761591600,115370.92,115373.98,114809.1,114960.51,115418355.02
1761595200,114960.51,114960.58,114445.94,114488.28,95542407.2
1761598800,114488.28,114634.83,114161.28,114330.14,78470645.14
1761602400,114330.14,114602.39,114084.01,114129.69,79872972.68
1761606000,114129.69,114222.81,113855.65,114115.08,87190067.89
1761609600,114115.08,114367.83,113801.83,113972.61,84058740.43
1761613200,113972.61,114536.98,113972.61,114442.18,68692236.77
1761616800,114442.18,114486.25,113614.3,113953.65,72033194.55
1761620400,113953.65,114117.73,113746.69,113925.0,62136330.67
1761624000,113925.0,114081.39,113789.8,113980.47,38811637.62
1761627600,113980.47,113996.1,113511.13,113626.72,54897756.14
1761631200,113626.72,114192.55,113626.59,114123.7,52814881.02
1761634800,114123.7,114358.58,114109.52,114203.76,49702764.12
1761638400,114203.76,114484.35,114129.26,114427.74,32081216.86
1761642000,114427.74,114631.9,114217.04,114533.55,39243058.06
1761645600,114533.55,114620.66,114434.68,114612.55,29020321.62
1761649200,114612.55,114671.24,114309.38,114359.29,41171857.09
1761652800,114359.29,114525.02,114155.84,114464.3,49401904.42
1761656400,114464.3,115539.27,114462.54,115538.7,220935510.53
1761660000,115538.7,116105.23,114287.26,115081.57,262758068.3
1761663600,115081.57,115405.8,114533.83,114675.97,114578393.96
1761667200,114675.97,115510.97,114550.67,115366.52,139841106.96
1761670800,115366.52,115601.16,115248.64,115326.39,95860159.98
1761674400,115326.39,115374.28,114671.97,115030.79,85891319.94
1761678000,115030.79,115072.58,113572.57,113706.91,250368380.03
1761681600,113706.91,113707.79,112353.44,112834.02,267039091.72
1761685200,112834.02,113233.2,112249.3,113031.2,133275417.4
1761688800,113031.2,113319.75,112865.17,113257.41,58160298.07
1761692400,113257.41,113261.15,112820.51,112930.68,52025295.26
1761696000,112930.68,112930.96,112469.72,112470.02,70622819.14
1761699600,112470.02,112967.27,112114.88,112524.6,119434785.75
1761703200,112524.6,112808.42,112441.1,112690.01,51033674.0
1761706800,112690.01,112690.29,112370.97,112546.6,45865012.39
1761710400,112546.6,112900.73,112531.28,112840.8,40357032.86
1761714000,112840.8,113384.5,112836.86,113076.82,64772032.61
1761717600,113076.82,113370.72,113003.65,113318.11,37568634.17
1761721200,113318.11,113600.88,113274.58,113587.34,42405285.89
1761724800,113587.34,113659.32,112992.71,113100.81,53140189.71
1761728400,113100.81,113130.99,112817.73,113030.01,60466444.43
1761732000,113030.01,113227.46,112779.85,112906.86,39191181.5
1761735600,112906.86,113275.19,112782.54,113165.9,35899271.91
1761739200,113165.9,113361.6,113100.9,113196.39,51928673.99
1761742800,113196.39,113669.5,112751.63,112910.16,144978843.44
1761746400,112910.16,112943.55,112272.84,112501.1,175636648.53
1761750000,112501.1,112572.82,111430.99,111540.05,262765637.19
1761753600,111540.05,111540.14,110977.1,111136.85,207990748.16
1761757200,111136.85,111936.67,111038.16,111873.73,142733622.37
