TO,FROM,TOTALVOLUME,ADDRESSESCOUNT,ID,SYMBOL,PARTNER_SYMBOL,TIME,MERGE_KEY
10.0,1.0,1737498.87510483,667649,1182,BTC,BTC,1595289600,1595289600_1.0_10.0
100.0,10.0,3089160.19635028,110671,1182,BTC,BTC,1595289600,1595289600_10.0_100.0
1000.0,100.0,3501192.765352,13896,1182,BTC,BTC,1595289600,1595289600_100.0_1000.0
10000.0,1000.0,5127466.14282602,2060,1182,BTC,BTC,1595289600,1595289600_1000.0_10000.0
100000.0,10000.0,2404542.15954939,101,1182,BTC,BTC,1595289600,1595289600_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1595289600,1595289600_100000.0_0.0
0.001,1e-08,2920.56942174,14807409,1182,BTC,BTC,1595376000,1595376000_1e-08_0.001
0.01,0.001,30340.6163631,7505251,1182,BTC,BTC,1595376000,1595376000_0.001_0.01
0.1,0.01,175351.83115881,5465329,1182,BTC,BTC,1595376000,1595376000_0.01_0.1
1.0,0.1,726750.62814424,2308468,1182,BTC,BTC,1595376000,1595376000_0.1_1.0
10.0,1.0,1735640.8723754,666928,1182,BTC,BTC,1595376000,1595376000_1.0_10.0
100.0,10.0,3084211.33263493,110487,1182,BTC,BTC,1595376000,1595376000_10.0_100.0
1000.0,100.0,3503183.59869168,13899,1182,BTC,BTC,1595376000,1595376000_100.0_1000.0
10000.0,1000.0,5132475.84835307,2061,1182,BTC,BTC,1595376000,1595376000_1000.0_10000.0
100000.0,10000.0,2404823.15915621,101,1182,BTC,BTC,1595376000,1595376000_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1595376000,1595376000_100000.0_0.0
0.001,1e-08,2927.43347568,14831138,1182,BTC,BTC,1595462400,1595462400_1e-08_0.001
0.01,0.001,30419.07749472,7524572,1182,BTC,BTC,1595462400,1595462400_0.001_0.01
0.1,0.01,175634.32877569,5473724,1182,BTC,BTC,1595462400,1595462400_0.01_0.1
1.0,0.1,726367.1462555,2309166,1182,BTC,BTC,1595462400,1595462400_0.1_1.0
10.0,1.0,1733574.68047839,666289,1182,BTC,BTC,1595462400,1595462400_1.0_10.0
100.0,10.0,3082644.22043137,110310,1182,BTC,BTC,1595462400,1595462400_10.0_100.0
1000.0,100.0,3498902.99399064,13880,1182,BTC,BTC,1595462400,1595462400_100.0_1000.0
10000.0,1000.0,5142254.41724098,2064,1182,BTC,BTC,1595462400,1595462400_1000.0_10000.0
100000.0,10000.0,2403824.15815621,101,1182,BTC,BTC,1595462400,1595462400_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1595462400,1595462400_100000.0_0.0
0.001,1e-08,2924.58271643,14836887,1182,BTC,BTC,1595548800,1595548800_1e-08_0.001
0.01,0.001,30405.56303758,7524106,1182,BTC,BTC,1595548800,1595548800_0.001_0.01
0.1,0.01,175660.72713536,5475776,1182,BTC,BTC,1595548800,1595548800_0.01_0.1
1.0,0.1,726256.50316943,2308872,1182,BTC,BTC,1595548800,1595548800_0.1_1.0
10.0,1.0,1733310.50389241,666341,1182,BTC,BTC,1595548800,1595548800_1.0_10.0
100.0,10.0,3079884.48610181,110226,1182,BTC,BTC,1595548800,1595548800_10.0_100.0
1000.0,100.0,3504338.50054243,13890,1182,BTC,BTC,1595548800,1595548800_100.0_1000.0
10000.0,1000.0,5141707.72706818,2066,1182,BTC,BTC,1595548800,1595548800_1000.0_10000.0
100000.0,10000.0,2403066.11263555,101,1182,BTC,BTC,1595548800,1595548800_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1595548800,1595548800_100000.0_0.0
0.001,1e-08,2923.72553267,14837670,1182,BTC,BTC,1595635200,1595635200_1e-08_0.001
0.01,0.001,30277.59442287,7500006,1182,BTC,BTC,1595635200,1595635200_0.001_0.01
0.1,0.01,175147.83290484,5459464,1182,BTC,BTC,1595635200,1595635200_0.01_0.1
1.0,0.1,724505.72953471,2299353,1182,BTC,BTC,1595635200,1595635200_0.1_1.0
10.0,1.0,1729710.86195597,665011,1182,BTC,BTC,1595635200,1595635200_1.0_10.0
100.0,10.0,3079925.83820658,110165,1182,BTC,BTC,1595635200,1595635200_10.0_100.0
1000.0,100.0,3504629.94011818,13897,1182,BTC,BTC,1595635200,1595635200_100.0_1000.0
10000.0,1000.0,5147753.56988472,2070,1182,BTC,BTC,1595635200,1595635200_1000.0_10000.0
100000.0,10000.0,2403567.11353555,101,1182,BTC,BTC,1595635200,1595635200_10000.0_100000.0
0.0,100000.0,255502.15887487,1,1182,BTC,BTC,1595635200,1595635200_100000.0_0.0
