TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,LASTMARKET,MEDIAN,TOPTIERVOLUME24HOUR,TOPTIERVOLUME24HOURTO,LASTTRADEID,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,VOLUMEDAY,VOLUMEDAYTO,OPENDAY,HIGHDAY,LOWDAY,VOLUME24HOUR,VOLUME24HOURTO,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,CHANGEHOUR,CHANGEPCTHOUR,CONVERSIONTYPE,CONVERSIONSYMBOL,CONVERSIONLASTUPDATE,SUPPLY,MKTCAP,MKTCAPPENALTY,CIRCULATINGSUPPLY,CIRCULATINGSUPPLYMKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO,TOTALTOPTIERVOLUME24H,TOTALTOPTIERVOLUME24HTO,IMAGEURL,FETCHED_AT
5,CCCAGG,BTC,USD,2,CCCAGG,88939.4511413385,27423.73035905,2451998404.31014,1012833952,88939.4511413385,1769649747,3.3e-07,0.0293422173,188.71866196,16790294.0516191,89027.7778410582,89043.6426201933,88895.5604259368,1051.85278653,93598813.6658277,89182.7169959381,89229.1888191976,88783.362443463,27423.73035905,2451998404.31014,89293.7451337696,90481.3259183887,88729.355853209,-354.2939924310922,-0.3967735835251727,-243.2658545995946,-0.27277241913438716,-88.32669971969153,-0.0992125175553429,direct,,1769649747,19981703.0,1777161697689.2373,0,19981703.0,1777161697689.237,237847.35069056,21166959703.768036,125700.18742722756,11192652556.06917,/media/37746251/btc.png,2026-01-28 17:22:36.984254-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,91857.5797921669,27618.52073048,2580927998.08342,984953901,91857.5797921669,1767723755,0.00036135,33.1923282075,1418.39045317,130002310.166811,91528.4464881606,91904.7260766516,91210.4548588162,21346.525809,1989747109.46175,93871.4502631699,94428.695657197,91210.4548588162,27618.52073048,2580927998.08342,94443.6092377979,94804.3784310233,91210.4548588162,-2586.029445630993,-2.7381730394479895,-2013.8704710029997,-2.145349267915949,329.13330400630366,0.3595967337311661,direct,,1767723755,19972368.0,1834613387198.5205,0,19972368.0,1834613387198.5208,270356.877567212,24878285979.833008,155697.487339839,14345951893.100893,/media/37746251/btc.png,2026-01-06 10:22:38.977576-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,83727.6796649599,44350.60146037,3789987229.37412,1014856656,83727.6796649599,1769736125,0.0136,1138.77696,472.29117282,39649682.0947759,84064.7894480953,84071.0495783235,83678.330026464,1503.36490534,126574394.731307,84528.5794582977,84612.3071934407,83678.330026464,44350.60146037,3789987229.37412,88479.0659266906,88630.9707334979,83243.7349776425,-4751.386261730702,-5.370068288997837,-800.8997933377977,-0.9474899477435591,-337.1097831353982,-0.40101186876051376,direct,,1769736125,19982090.0,1673054030556.3984,0,19982090.0,1673054030556.3984,389683.174840958,32703882311.260246,207793.9265114864,17474717592.62991,/media/37746251/btc.png,2026-01-29 17:22:07.422764-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,78288.7938566418,54801.52604802,4367479322.00506,1019670044,78288.7938566418,1769910353,0.02339871,1831.4881637784,1560.13586546,122527454.694297,78834.5420675677,78879.5604523489,78233.6658921188,3889.7514169,306529420.594948,78664.0185146698,79363.9609628202,78233.6658921188,54801.52604802,4367479322.00506,83882.5606473301,84100.0384033203,76029.5449655494,-5593.7667906883,-6.668569423156187,-375.22465802800434,-0.4769965546039704,-545.7482109258999,-0.6922704142280026,direct,,1769910353,19982656.0,1564418036292.1865,0,19982656.0,1564418036292.1865,469674.443357072,36847379621.91703,246161.411281218,19348813929.457535,/media/37746251/btc.png,2026-01-31 17:46:01.228003-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,90522.3180096886,4459.73601627,403651757.397757,989523941,90522.3180096886,1768094280,0.00159,143.9117427,37.64495621,3407929.31789935,90516.1702935344,90558.5312885255,90496.1901795579,252.84910426,22872256.0796573,90391.7647042446,90558.5312885255,90335.6788099121,4459.73601627,403651757.397757,90568.0222219792,90713.6507801105,90279.1996613161,-45.70421229059866,-0.05046396196946773,130.55330544400204,0.1444305306696502,6.147716154213413,0.006791842975986519,direct,,1768094280,19974315.0,1808121294455.6934,0,19974315.0,1808121294455.6934,62012.1120927117,5613426246.802607,26824.0320262257,2428119672.873777,/media/37746251/btc.png,2026-01-10 17:18:03.383011-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,95170.9250540119,5215.18182626,495991189.055833,999356708,95170.9250540119,1768760388,0.00221393,210.67315094,100.38915224,9553082.75333616,95233.834970251,95240.3983008585,95137.5971988575,4091.36288454,388990110.871024,95117.6939031808,95327.2010557233,94835.4833173788,5215.18182626,495991189.055833,95397.1693697584,95397.6006045947,94835.4833173788,-226.24431574650225,-0.23716040763178386,53.231150831095874,0.05596345816087514,-62.90991623910668,-0.06605836702759936,direct,,1768760388,19977562.0,1901283055863.876,0,19977562.0,1901283055863.876,75322.7506551747,7168193367.791455,31019.441164671498,2951806420.62608,/media/37746251/btc.png,2026-01-18 10:20:05.787567-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,89265.8895071801,23717.23234287,2094142379.26653,1011502528,89265.8895071801,1769562755,0.00346451,309.25255613,203.3209596,18162884.0667482,89360.0779847698,89378.8451316673,89243.1462248368,724.29720737,64622419.8277796,89136.2817812559,89378.8451316673,89047.2666411116,23717.23234287,2094142379.26653,88485.6476341657,89447.8234435841,87212.2687982399,780.2418730143982,0.881772235244549,129.60772592420108,0.14540400758724015,-94.18847758970514,-0.1054033072864577,direct,,1769562755,19981340.0,1783652088645.3977,0,19981340.0,1783652088645.398,229126.396283816,20430174111.381256,122778.85498694499,10936966240.614498,/media/37746251/btc.png,2026-01-27 17:12:52.926049-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,91155.1443271693,9491.40391103,856733099.969856,981726291,91155.1443271693,1767489476,7.532e-05,6.865094124,271.55862198,24797030.384989,91297.6058107224,91440.0494225948,91148.8635652266,1886.71962647,172071687.084339,90598.8695543287,91550.3121051684,90598.6202335357,9491.40391103,856733099.969856,90247.5510843027,91550.3121051684,89288.1023134157,907.5932428665983,1.0056707710758719,556.2747728405957,0.6139974765435884,-142.4614835530956,-0.1560407661165243,direct,,1767489476,19971200.0,1820477618386.7634,0,19971200.0,1820477618386.7634,122934.693018766,11197672491.534325,57122.1665379981,5198522141.644275,/media/37746251/btc.png,2026-01-03 17:18:13.169880-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,91786.6235681323,29282.51495712,2671675872.69552,991230013,91786.6235681323,1768242235,0.0027,247.8681,660.91120601,60563916.72963,91439.0280930905,91880.0891657338,91337.4853426347,26443.1013242,2414565223.3384,90885.0358011235,92416.5739200245,90020.5796862131,29282.51495712,2671675872.69552,90761.2226590519,92416.5739200245,90020.5796862131,1025.400909080403,1.1297786422868736,901.5877670088084,0.9920090354386627,347.5954750418023,0.3801390744091559,direct,,1768242235,19975018.0,1833439457932.667,0,19975018.0,1833439457932.667,233836.472778743,21446992998.640438,124335.63601598001,11396280914.301212,/media/37746251/btc.png,2026-01-12 10:24:02.739767-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,89846.2377495483,28859.04075144,2625648562.40284,987028035,89846.2377495483,1767875538,0.005,449.18085,784.88666469,70517733.8077617,90109.3234440571,90120.5692518091,89689.8513633421,10882.63413672,984359490.966265,91287.1163123315,91578.2679664648,89534.6578850892,28859.04075144,2625648562.40284,91929.3709764205,92218.6156154836,89534.6578850892,-2083.1332268722035,-2.2660148815839483,-1440.8785627832112,-1.5784029784152251,-263.0856945088017,-0.2919627897019271,direct,,1767875538,19973125.0,1794510137351.4468,0,19973125.0,1794510137351.4468,249929.644983436,22488010629.66705,139723.320793885,12586387025.028856,/media/37746251/btc.png,2026-01-08 04:32:27.431481-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,90823.4622992684,28237.17187657,2565780525.91408,988806128,90823.4622992684,1767982979,0.00053503,48.5887548003,663.00128382,60410031.8889872,91344.3139825273,91429.9765153159,90821.9801492299,22792.5496716,2070396167.43655,91032.9247575513,91948.9136015396,89596.5857051458,28237.17187657,2565780525.91408,91052.4408411974,91948.9136015396,89596.5857051458,-228.9785419289983,-0.2514798503077527,-209.4624582828983,-0.2300952746940311,-520.8516832588939,-0.5702070118546454,direct,,1767982979,19973659.0,1814076865164.943,0,19973659.0,1814076865164.943,222041.180293897,20167731577.852276,118229.246532142,10739172325.627373,/media/37746251/btc.png,2026-01-09 10:23:11.027720-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,96967.3533238894,56549.36861123,5413977709.20296,995364671,96967.3533238894,1768415082,0.00018668,18.1023017292,1213.35461198,117588721.597957,96976.3446327645,97127.5435969251,96608.5113544333,39574.18890081,3806330374.03576,95374.0317114324,97825.1023610178,94530.6945060171,56549.36861123,5413977709.20296,93605.0726702034,97825.1023610178,93448.5847907016,3362.2806536860007,3.591985517208289,1593.3216124570026,1.6706031860725172,-8.99130887510546,-0.00927165166840868,direct,,1768415082,19975840.0,1937004335221.483,0,19975840.0,1937004335221.483,359593.479843481,34799363115.78468,198451.981012056,19173898463.456787,/media/37746251/btc.png,2026-01-14 10:24:52.845444-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,89049.4780226789,23387.05536248,2088676447.48743,1006356016,89049.4780226789,1769171591,0.00028074,24.99456294,147.19921952,13115504.3855924,89110.5506774338,89148.5365027922,89028.6385465922,6514.97421513,582574371.969253,89484.1769184693,89998.3532478326,88766.1462014354,23387.05536248,2088676447.48743,89939.9092154486,90260.3910911716,88441.129499803,-890.4311927696981,-0.9900290099656366,-434.6988957903959,-0.48578297388426356,-61.072654754898394,-0.06853582913652034,direct,,1769171591,19979703.0,1779182123198.1516,0,19979703.0,1779182123198.1516,205835.801609113,18335642066.642296,112193.34708308,9996830370.336613,/media/37746251/btc.png,2026-01-23 04:33:23.174745-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,87744.1732786762,25234.65542118,2202102742.70795,1009252207,87744.1732786762,1769430796,0.01519188,1332.93919421282,349.33562607,30670992.3117917,87770.6104654611,87890.7797604735,87664.7753676431,10136.48738128,887212765.62463,86581.0345816177,88295.4443269845,86429.6392513598,25234.65542118,2202102742.70795,88684.4365284725,88865.7480688895,86008.6431884744,-940.2632497963059,-1.0602347904577716,1163.1386970585008,1.3434104855400408,-26.437186784896767,-0.030120773508007164,direct,,1769430796,19980737.0,1753193249563.657,0,19980737.0,1753193249563.657,273653.669092873,23999423724.034813,130993.959885576,11481865479.464188,/media/37746251/btc.png,2026-01-26 04:33:27.089736-08:00
